Voltage,Current
V,A
-0.02095,-2.97E-04
-0.02195,-3.03E-04
-0.02295,-3.08E-04
-0.02394,-3.13E-04
-0.02494,-3.18E-04
-0.02595,-3.23E-04
-0.02696,-3.28E-04
-0.02796,-3.33E-04
-0.02896,-3.37E-04
-0.02997,-3.42E-04
-0.03096,-3.46E-04
-0.03197,-3.50E-04
-0.03295,-3.54E-04
-0.03395,-3.57E-04
-0.03496,-3.61E-04
-0.03595,-3.64E-04
-0.03695,-3.67E-04
-0.03796,-3.70E-04
-0.03896,-3.73E-04
-0.03996,-3.75E-04
-0.04097,-3.77E-04
-0.04196,-3.79E-04
-0.04296,-3.81E-04
-0.04396,-3.82E-04
-0.04496,-3.84E-04
-0.04596,-3.85E-04
-0.04696,-3.85E-04
-0.04796,-3.86E-04
-0.04895,-3.86E-04
-0.04996,-3.86E-04
-0.05098,-3.86E-04
-0.05198,-3.85E-04
-0.05298,-3.84E-04
-0.05396,-3.83E-04
-0.05497,-3.81E-04
-0.05597,-3.79E-04
-0.05695,-3.77E-04
-0.05798,-3.75E-04
-0.05897,-3.72E-04
-0.05997,-3.69E-04
-0.06096,-3.65E-04
-0.06196,-3.62E-04
-0.06295,-3.58E-04
-0.06397,-3.54E-04
-0.06498,-3.49E-04
-0.06598,-3.45E-04
-0.06697,-3.40E-04
-0.06797,-3.35E-04
-0.06896,-3.30E-04
-0.06997,-3.26E-04
-0.07097,-3.21E-04
-0.07197,-3.16E-04
-0.07295,-3.11E-04
-0.07395,-3.07E-04
-0.07495,-3.02E-04
-0.07595,-2.98E-04
-0.07696,-2.93E-04
-0.07797,-2.89E-04
-0.07896,-2.84E-04
-0.07996,-2.80E-04
-0.08096,-2.76E-04
-0.08195,-2.71E-04
-0.08296,-2.67E-04
-0.08396,-2.62E-04
-0.08497,-2.58E-04
-0.08596,-2.53E-04
-0.08696,-2.48E-04
-0.08795,-2.43E-04
-0.08894,-2.37E-04
-0.08997,-2.32E-04
-0.09096,-2.26E-04
-0.09197,-2.19E-04
-0.09297,-2.13E-04
-0.09397,-2.06E-04
-0.09496,-1.99E-04
-0.09598,-1.93E-04
-0.09696,-1.86E-04
-0.09796,-1.79E-04
-0.09896,-1.72E-04
-0.09995,-1.65E-04
-0.101,-1.58E-04
-0.102,-1.52E-04
-0.103,-1.45E-04
-0.104,-1.39E-04
-0.105,-1.34E-04
-0.106,-1.28E-04
-0.107,-1.22E-04
-0.108,-1.17E-04
-0.109,-1.12E-04
-0.11,-1.08E-04
